,Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
266,16950 SE Salmon St,279900,4,1,1296,3249,Alder Elementary School,Hauton B Lee Middle School,174,1961
267,4576 SW Comus Pl ,199999,2,2,1058,3226,Markham Elementary School,Jackson Middle School,96,1979
268,1030 SE 60th Ave,749899,5,3,2335,5451,Glencoe Elementary School,Mt Tabor Middle School,29,1926
269,13115 SE Foster Rd ,66000,3,2,1080,34111,Gilbert Park Elementary School,Alice Ott Middle School,74,1988
270,5627 SW Coronado St,601900,4,2,2610,8808,Markham Elementary School,Jackson Middle School,96,1989
271,4056 SE Mall St,479900,3,2,1620,6177,Grout Elementary School,Hosford Middle School,16,1995
272,4116 N Borthwick Ave,495000,2,1,1336,1499,Boise-Eliot Elementary School,Harriet Tubman Middle School,21,1933
273,11316 NE Fargo St,315000,3,2,1848,3458,Sacramento Elementary School,Parkrose Middle School,51,1993
274,10204 NW Alder Grove Ln,277900,2,2,1280,6178,Forest Park Elementary School,West Sylvan Middle School,9,1998
275,2224 SE 145th Ave,330000,3,1,1200,3210,Parklane Elementary School,Centennial Middle School,68,1956
276,3935 SW Corbett Ave,1000000,7,7,4811,9970,Capitol Hill Elementary School,Jackson Middle School,96,1893
277,4005 N Willamette Blvd,670000,4,2,3226,9507,Astor Elementary School,Astor Elementary School,146,1943
278,9742 NW Skyline Heights Dr,1115000,4,3,5057,18770,Forest Park Elementary School,West Sylvan Middle School,9,2003
279,4430 N Michigan Ave,819900,4,3,2771,10061,Boise-Eliot Elementary School,Harriet Tubman Middle School,21,2016
280,3275 NE Bryce St,1375000,5,3,3848,4195,Alameda Elementary School,Beaumont Middle School,21,1910
281,12403 SW 55th Pl,855000,4,2,3409,12556,Markham Elementary School,Jackson Middle School,96,1995
282,5400 NE 30th Ave ,254900,1,1,594,5018,Vernon Elementary School,Vernon Elementary School,92,1946
283,10218 N Barr Ave,607500,4,3,2669,4971,Sitton Elementary School,George Middle School,146,1927
284,9028 N Chautauqua Pl,315000,3,1,858,2648,Rosa Parks Elementary School,George Middle School,146,1970
285,5308 SW Pomona St,349999,3,2,1626,3908,Markham Elementary School,Jackson Middle School,96,1942
286,1806 SW Taylors Ferry Rd,699800,5,3,2516,7208,Capitol Hill Elementary School,Jackson Middle School,96,1945
287,4821 SW Seymour Ct,475000,3,2,1289,6535,Bridlemile Elementary School,Gray Middle School,96,1986
288,3011 SE 92nd Ave,339900,3,2,1510,4304,Harrison Park School,Harrison Park School,92,2004
289,1506 SW Broadway Dr,459000,3,2,1775,7349,Ainsworth Elementary School,West Sylvan Middle School,9,1964
290,6310 SE Windsor Ct,699999,4,2,2243,3133,Atkinson Elementary School,Mt Tabor Middle School,29,1947
291,6613 SE 83rd Ave,339900,3,2,1040,3714,Woodmere Elementary School,Lane Middle School,29,1977
292,2710 SE 138th Ave ,139900,2,1,848,1807,Lincoln Park Elementary School,Ron Russell Middle School,74,1974
293,11827 NE San Rafael St,269900,2,1,960,2676,Sacramento Elementary School,Parkrose Middle School,51,1955
294,3039 NE 122nd Ave,347900,3,1,1272,3447,Sacramento Elementary School,Parkrose Middle School,51,1958
295,1214 SE 58th Ave,1950000,6,4,6850,24598,Glencoe Elementary School,Mt Tabor Middle School,29,1913
296,5950 SE Tibbetts St,499000,2,1,1388,3667,Atkinson Elementary School,Mt Tabor Middle School,29,1953
297,1730 SW Harbor Way ,297000,1,1,684,5105,Ainsworth Elementary School,West Sylvan Middle School,9,1986
298,6247 SE Ogden St,269900,3,2,1284,2823,Woodmere Elementary School,Lane Middle School,29,1945
299,3457 NE Davis St,1080000,3,4,3005,11058,Laurelhurst Elementary School,Laurelhurst Elementary School,21,1931
300,9425 SW 51st Ave,389000,3,2,1530,5093,Markham Elementary School,Jackson Middle School,96,1978
301,5403 N Harvard St,675000,5,3,3792,6809,Astor Elementary School,Astor Elementary School,146,1953
302,2341 SE 170th Ave,325000,3,2,1112,3884,Patrick Lynch Elementary School,Centennial Middle School,68,1982
303,10117 NW Wilark Ave,399900,2,2,1446,3541,Skyline Elementary School,Skyline Elementary School,9,1921
304,5740 NW Skyline Blvd,825000,3,3,3035,11312,Skyline Elementary School,Skyline Elementary School,9,1981
305,621 NW Skyline Blvd,899950,3,3,3473,10698,Forest Park Elementary School,West Sylvan Middle School,9,1989
306,35 NE 55th Ave,649900,4,3,2756,9752,Glencoe Elementary School,Mt Tabor Middle School,29,1908
307,26 SE 69th Ave,699900,3,2,2370,2303,Vestal Elementary School,Roseway Heights School,92,1928
308,3939 N Marine Dr,389000,2,2,1510,11075,Faubion Elementary School,Faubion Elementary School,146,1981
309,908 NW 25th Ave,1249900,4,3,5861,14187,Chapman Elementary School,West Sylvan Middle School,9,1908
310,1929 SW Carter Ln,799000,2,2,2433,17439,Ainsworth Elementary School,West Sylvan Middle School,9,1951
311,2796 SW Montgomery Dr,1225000,5,5,3802,10413,Ainsworth Elementary School,West Sylvan Middle School,9,1910
312,6444 NE Going St,430000,3,2,1518,4887,Scott Elementary School,Roseway Heights School,92,1942
313,418 N Bridgeton Rd,459950,2,2,2304,7494,Faubion Elementary School,Faubion Elementary School,146,1997
314,133 SE 55th Ave,1300000,4,5,3734,4607,Glencoe Elementary School,Mt Tabor Middle School,29,1926
315,3409 NE Simpson St,489000,3,2,1804,3632,Faubion Elementary School,Faubion Elementary School,92,1940
316,3641 SE Crystal Springs Blvd,674900,4,3,2451,5529,Duniway Elementary School,Sellwood Middle School,16,2007
317,14421 NW Springville Rd,1490000,4,3,4797,9489,Skyline Elementary School,Skyline Elementary School,9,2002
318,1503 N Hayden Island Dr,155950,2,2,1440,0,Faubion Elementary School,Faubion Elementary School,146,1972
319,5316 SE 18th Ave,399000,3,1,840,3173,Llewellyn Elementary School,Sellwood Middle School,16,1954
320,4715 SE 94th Ave,420000,7,3,2912,4476,Lent Elementary School,Lent Elementary School,29,1959
321,7325 SE Milwaukie Ave,650000,2,2,2336,8245,Llewellyn Elementary School,Sellwood Middle School,16,2003
322,2936 SE 18th Ave,599900,3,3,2620,6760,Abernethy Elementary School,Hosford Middle School,16,1912
323,3515 SW Shattuck Rd,939000,4,3,3534,12549,Bridlemile Elementary School,Gray Middle School,96,1958
324,12308 SE Long St,249900,2,1,1324,2077,Gilbert Heights Elementary School,Alice Ott Middle School,74,2004
325,10435 SE Oak St,310000,3,2,1591,3494,Cherry Park Elementary School,Floyd Light Middle School,74,2004
326,9608 N Oregonian Ave,299900,3,1,1164,3011,James John Elementary School,George Middle School,146,2004
327,12029 SW Lesser Rd,549900,4,2,2423,5258,Markham Elementary School,Jackson Middle School,96,1942
328,2702 SE 138th Ave ,145900,1,1,720,1564,Lincoln Park Elementary School,Ron Russell Middle School,74,1974
329,4043 NE 80th Ave,389900,3,1,1868,4344,Scott Elementary School,Roseway Heights School,92,1928
330,3025 SE Cesar E Chavez Blvd,365000,3,1,2132,3483,Abernethy Elementary School,Hosford Middle School,16,1926
331,8524 SW 10th Ave,417900,3,2,1290,6426,Capitol Hill Elementary School,Jackson Middle School,96,1991
332,3969 N Overlook Ter,1199000,3,3,3372,7863,Beach Elementary School,Ockley Green School,146,1947
333,3224 SE 153rd Ave,225000,2,2,1506,3526,Powell Butte Elementary School,Centennial Middle School,68,1980
334,2732 SE 138th Ave ,153900,2,1,844,1866,Lincoln Park Elementary School,Ron Russell Middle School,74,1977
335,1804 SW Miles St,400000,3,1,960,4218,Rieke Elementary School,Gray Middle School,96,1970
336,5011 SW Orchid St,445000,3,2,1680,6091,Markham Elementary School,Jackson Middle School,96,1973
337,4505 NE 25th Ave,849999,5,3,2751,7244,Vernon Elementary School,Vernon Elementary School,92,2017
338,2565 NE 33rd Ave,599999,3,2,2732,6360,Beverly Cleary School,Beverly Cleary School,21,1939
339,411 NE 43rd Ave,1050000,4,3,3188,7583,Laurelhurst Elementary School,Laurelhurst Elementary School,21,1914
340,3827 SW Dolph Ct,575000,4,3,2610,6204,Maplewood Elementary School,Jackson Middle School,96,1919
341,8130 SE 75th Pl,325000,3,1,946,3423,Whitman Elementary School,Lane Middle School,16,1966
342,3012 SE 138th Ave,339000,2,2,1732,3230,Lincoln Park Elementary School,Ron Russell Middle School,74,1927
343,11737 SE Salmon St,199900,2,1,672,2484,Ventura Park Elementary School,Floyd Light Middle School,74,1949
344,9312 NW Murdock St,930000,5,3,4374,15801,Forest Park Elementary School,West Sylvan Middle School,9,2003
345,2737 SE 87th Ave,295000,3,2,1134,4280,Harrison Park School,Harrison Park School,92,1994
346,7018 N Hodge Ave,649900,4,2,2287,1663,Astor Elementary School,Astor Elementary School,146,1928
347,4075 SE Woodward St,874950,4,3,2950,1349,Creston Elementary School,Creston Elementary School,29,1924
348,4104 SE Ash St,750000,5,2,4040,8772,Laurelhurst Elementary School,Laurelhurst Elementary School,21,1916
349,4438 SW Hamilton Ter,1095000,4,2,3791,16352,Ainsworth Elementary School,West Sylvan Middle School,9,2002
350,11606 NE Sandy Blvd,849900,6,2,2964,3146,Prescott Elementary School,Parkrose Middle School,51,1934
351,7022 SE 84th Ave,450000,3,2,1930,4143,Kelly Elementary School,Lane Middle School,29,1913
352,14715 SE Market Ct,329169,2,1,1716,3980,Parklane Elementary School,Centennial Middle School,68,1949
353,14312 NE Knott St,379900,3,2,2602,4412,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1964
354,4532 SE 28th Ave,435000,3,2,1336,5026,Grout Elementary School,Hosford Middle School,16,1996
355,13508 NW Springville Rd,849900,3,2,4397,9754,Skyline Elementary School,Skyline Elementary School,9,1957
356,7655 NE Alameda St,699000,2,2,3520,8173,Lee Elementary School,Roseway Heights School,92,1953
357,3327 SW Water Ave,395000,2,1,2115,4185,Capitol Hill Elementary School,Jackson Middle School,96,1894
358,3618 NE 154th Ave,240000,3,2,1512,3247,Margaret Scott Elementary School,Hauton B Lee Middle School,174,2003
359,925 NE 74th Ave,469900,4,2,2578,5311,Vestal Elementary School,Roseway Heights School,92,1890
360,15330 SE Yamhill St,317000,3,1,1244,3582,Parklane Elementary School,Centennial Middle School,68,1966
361,10527 SE Raymond St,297500,3,1,1580,3211,Earl Boyles Elementary,Ron Russell Middle School,74,1954
362,1514 NE Highland St,450000,4,1,1881,2472,Woodlawn Elementary School,Ockley Green School,146,1910
363,4900 NE 18th Ave,849900,4,2,4800,2211,Vernon Elementary School,Vernon Elementary School,92,1909
364,3617 SW Vesta St,349000,3,2,1702,7033,Markham Elementary School,Jackson Middle School,96,1999
365,7503 N Kerby Ave,399000,4,3,2704,4830,Woodlawn Elementary School,Ockley Green School,146,1928
366,814 SE Sherrett St,449900,3,1,1794,3920,Duniway Elementary School,Sellwood Middle School,16,1912
367,4708 NE 60th Ave,399000,3,2,1456,5531,Scott Elementary School,Roseway Heights School,92,1997
368,3316 SE 23rd Ave,950000,7,2,4094,5838,Abernethy Elementary School,Hosford Middle School,16,1923
369,8704 SE 9th Ave,435000,3,2,1273,4751,Duniway Elementary School,Sellwood Middle School,16,1993
370,2470 NW Thurman St,995000,2,2,1983,13542,Chapman Elementary School,West Sylvan Middle School,9,2005
371,3724 SE 148th Ave,369900,4,2,1411,4326,Pleasant Valley Elementary School,Centennial Middle School,68,1968
372,1568 NE 74th Ave,499000,3,2,1837,4355,Vestal Elementary School,Roseway Heights School,92,2017
373,2419 NW Birkendene St,769000,4,2,3557,12889,Forest Park Elementary School,West Sylvan Middle School,9,1994
374,10428 NE Pacific St,349950,3,1,1314,3992,Ventura Park Elementary School,Floyd Light Middle School,74,1939
375,10450 SW 53rd Ave,739000,5,3,3959,8312,Markham Elementary School,Jackson Middle School,96,1951
376,7625 N Van Houten Ave,399500,3,1,1646,4530,Astor Elementary School,Astor Elementary School,146,1924
377,3312 SE 165th Pl,309900,3,2,1080,3162,Powell Butte Elementary School,Centennial Middle School,68,1958
378,220 N Hayden Bay Dr,444000,2,2,2091,7205,Faubion Elementary School,Faubion Elementary School,146,1973
379,2131 NE Saratoga St,475000,3,2,1704,4894,Woodlawn Elementary School,Ockley Green School,146,1946
380,5825 SW 59th Ct,499000,3,2,1881,7760,Hayhurst Elementary School,Gray Middle School,96,1987
381,636 NW Albemarle Ter,1900000,4,2,4801,24384,Chapman Elementary School,West Sylvan Middle School,9,1921
382,7621 SE Crystal Springs Blvd,356900,3,2,1416,3407,Whitman Elementary School,Lane Middle School,16,2003
383,414 N Rosa Parks Way,399900,2,1,1392,2675,Chief Joseph/Ockley Green School,Ockley Green School,146,1927
384,12415 NE Brazee St,375000,3,3,2365,4328,Russell Elementary,Parkrose Middle School,51,1944
385,4023 SE 65th Ave,375000,3,1,1741,3759,Arleta Elementary School,Arleta Elementary School,29,1906
386,7325 SE 22nd Ave,575000,3,2,2213,4930,Llewellyn Elementary School,Sellwood Middle School,16,1926
387,8243 NE Wygant St,344900,3,1,1064,2694,Russell Elementary,Parkrose Middle School,51,1949
388,4406 NE 13th Ave,699000,4,2,2520,1512,Sabin Elementary School,Harriet Tubman Middle School,21,1908
389,9001 N Trumbull Ave,548000,2,1,1719,3130,Sitton Elementary School,George Middle School,146,1943
390,4344 SW Hillside Dr,890000,4,3,3910,14707,Ainsworth Elementary School,West Sylvan Middle School,9,2000
391,2328 SE 139th Ave,399900,4,2,2036,4282,Lincoln Park Elementary School,Ron Russell Middle School,74,2008
392,2818 NE 15th Ave,824000,5,2,3980,6819,Irvington Elementary School,Harriet Tubman Middle School,21,1917
393,222 N Hayden Bay Dr,389900,3,2,2015,5674,Faubion Elementary School,Faubion Elementary School,146,1973
394,2775 NW Upshur St ,468000,3,2,1342,7464,Chapman Elementary School,West Sylvan Middle School,9,1984
395,5515 SW 63rd Ave,1150000,4,3,3707,15054,Hayhurst Elementary School,Gray Middle School,96,1999
396,3611 SW Condor Ave,525000,3,1,2286,8697,Ainsworth Elementary School,West Sylvan Middle School,9,1898
397,7424 SE Ogden St,370000,3,1,1254,3739,Whitman Elementary School,Lane Middle School,16,1947
398,3829 SE 149th Ave,347000,3,1,1508,2488,Pleasant Valley Elementary School,Centennial Middle School,68,1964
399,6241 SE 142nd Ave,225000,3,2,1269,3228,Gilbert Park Elementary School,Alice Ott Middle School,74,1999
400,1609 SE Umatilla St,749000,4,3,2398,4118,Duniway Elementary School,Sellwood Middle School,16,1890
401,5950 SW Riveridge Ln,464000,2,2,1286,5920,Capitol Hill Elementary School,Jackson Middle School,96,1980
402,4804 NE 106th Ave,410000,3,2,2791,3816,Prescott Elementary School,Parkrose Middle School,51,1912
403,3744 SE Steele St,429900,3,2,1132,4699,Grout Elementary School,Hosford Middle School,16,1972
404,1224 NE 81st Ave,549900,3,2,1569,2369,Vestal Elementary School,Roseway Heights School,92,1920
405,4205 SE 80th Ave,379900,3,2,1714,6064,Marysville Elementary School,Marysville Elementary School,29,1929
406,4209 SE 80th Ave,379900,3,2,1714,6064,Marysville Elementary School,Marysville Elementary School,29,1929
407,4215 SE 80th Ave,379900,3,2,1714,6064,Marysville Elementary School,Marysville Elementary School,29,1929
408,1319 NE 126th Ave,329000,3,2,1983,3778,Menlo Park Elementary School,Floyd Light Middle School,74,1956
409,4219 SE 80th Ave,379900,3,2,1714,6064,Marysville Elementary School,Marysville Elementary School,29,1929
410,8320 SW 33rd Ave,550000,3,3,2128,7420,Maplewood Elementary School,Jackson Middle School,96,1968
411,7931 SW 40th Ave ,220000,2,2,893,3905,Maplewood Elementary School,Jackson Middle School,96,1990
412,456 NW Skyline Blvd,974900,4,5,4248,11716,Forest Park Elementary School,West Sylvan Middle School,9,1997
413,9908 SE Mount Scott Blvd,499000,4,1,3725,8618,Kelly Elementary School,Lane Middle School,29,1927
414,1422 SE 51st Ave,609900,4,3,2430,4682,Glencoe Elementary School,Mt Tabor Middle School,29,1911
415,3410 SE 119th Ave,320000,2,1,1288,2666,Mill Park Elementary School,Ron Russell Middle School,74,1924
416,1233 N Winchell St,475000,3,2,1536,3715,Peninsula Elementary School,Ockley Green School,146,1977
417,1710 SW Harbor Way ,345000,1,1,819,4747,Ainsworth Elementary School,West Sylvan Middle School,9,1986
418,7010 SW Brier Pl,550000,5,2,2866,9388,Rieke Elementary School,Gray Middle School,96,1890
419,9240 N Mohawk Ave,450000,4,2,1692,4722,James John Elementary School,George Middle School,146,2005
420,345 N Lotus Beach Dr,749900,2,2,3060,12974,Faubion Elementary School,Faubion Elementary School,146,1982
421,9726 NW Sunrise Ln,1599900,6,4,6451,26068,Forest Park Elementary School,West Sylvan Middle School,9,2005
422,3326 N Farragut St,485000,3,3,2379,4233,Peninsula Elementary School,Ockley Green School,146,1929
423,3825 SE Center St,429900,3,1,1330,4640,Grout Elementary School,Hosford Middle School,16,1982
424,704 NE Killingsworth Ct,310000,4,2,2048,1398,King Elementary School,Harriet Tubman Middle School,21,1907
425,2049 NW Overton St ,379000,1,1,727,4088,Chapman Elementary School,West Sylvan Middle School,9,1925
426,15751 SE Powell Blvd,339999,6,2,2622,3136,Powell Butte Elementary School,Centennial Middle School,68,1926
427,10618 NW 4th Pl,649900,4,3,4824,4635,Skyline Elementary School,Skyline Elementary School,9,2009
428,10001 SW Riverside Dr,997500,5,2,4986,12397,Riverdale Grade School,Riverdale Grade School,14,1908
429,10601 NW 4th St,369900,1,1,1308,3170,Skyline Elementary School,Skyline Elementary School,9,1907
430,2933 SE 136th Ave,299000,3,2,1778,3281,Lincoln Park Elementary School,Ron Russell Middle School,74,2000
431,5944 SW View Point Ter,439000,3,2,1056,5901,Capitol Hill Elementary School,Jackson Middle School,96,1973
432,10832 NE Siskiyou St,417000,4,3,2525,3321,Sacramento Elementary School,Parkrose Middle School,51,1949
433,700 SW 48th Dr,1440000,3,3,3752,24322,Ainsworth Elementary School,West Sylvan Middle School,9,1969
434,6449 NE 33rd Ave,449900,5,2,2518,4375,Faubion Elementary School,Faubion Elementary School,92,1913
435,3804 SE 27th Ave,459900,3,1,1010,3685,Grout Elementary School,Hosford Middle School,16,1951
436,1828 SE Main St,875000,5,4,3655,11531,Buckman Elementary School,Hosford Middle School,16,2010
437,6035 SE Tenino St,275000,2,1,1188,4143,Whitman Elementary School,Lane Middle School,16,1923
438,2004 NW Norfolk Ct,650000,4,2,3323,11365,Forest Park Elementary School,West Sylvan Middle School,9,1999
439,5615 NE 35th Ave,639900,4,2,2978,4478,Faubion Elementary School,Faubion Elementary School,92,1926
440,5400 NE Rodney Ave,974900,7,3,5147,9214,King Elementary School,Harriet Tubman Middle School,21,1909
441,2341 SE 154th Ave,425000,3,2,1704,4275,Parklane Elementary School,Centennial Middle School,68,1975
442,125 NE 80th Ave,350000,2,1,1904,3130,Vestal Elementary School,Roseway Heights School,92,1925
443,10224 N Tioga Ave,309900,3,1,1099,2015,Sitton Elementary School,George Middle School,146,1923
444,1680 SW Montgomery Dr,2799000,3,2,4664,39043,Ainsworth Elementary School,West Sylvan Middle School,9,2002
445,13705 NE Halsey St,349800,2,1,1251,3399,Russell Elementary,Parkrose Middle School,51,1954
446,5252 NE 27th Ave,460000,4,2,2520,2531,Vernon Elementary School,Vernon Elementary School,92,1908
447,1322 SE 114th Ave,399950,3,2,1392,4094,Mill Park Elementary School,Floyd Light Middle School,74,1965
448,169 N Lotus Beach Dr,614900,3,3,3075,12133,Faubion Elementary School,Faubion Elementary School,146,1980
449,133 SE 55th Ave ,874900,5,3,2942,4607,Glencoe Elementary School,Mt Tabor Middle School,29,1926
450,5531 NE Cleveland Ave,724000,4,2,3408,5484,Beach Elementary School,Ockley Green School,146,1907
451,11721 SW Riverwood Rd,1395000,4,3,2928,12282,Riverdale Grade School,Riverdale Grade School,14,1911
452,6517 NE Emerson St,399900,3,2,1622,4039,Scott Elementary School,Roseway Heights School,92,1988
453,6821 N Montana Ave,400000,2,1,972,2487,Chief Joseph/Ockley Green School,Ockley Green School,146,1925
454,2802 NW Ariel Ter,880000,3,3,2201,12077,Chapman Elementary School,West Sylvan Middle School,9,1981
455,6355 N Greeley Ave,399900,4,2,1929,3588,Chief Joseph/Ockley Green School,Ockley Green School,146,1906
456,2461 NE Sumner St,699900,4,3,2642,11505,Vernon Elementary School,Vernon Elementary School,92,1927
457,5207 NE 25th Ave,674900,4,3,2462,11505,Vernon Elementary School,Vernon Elementary School,92,1927
458,7049 SE 35th Ave,725000,4,1,2660,10486,Duniway Elementary School,Sellwood Middle School,16,1926
459,4255 SE 117th Ave,599000,6,3,2918,5253,West Powellhurst Elementary School,Ron Russell Middle School,74,1966
460,1026 NE 109th Ave,359000,2,1,1172,3932,Ventura Park Elementary School,Floyd Light Middle School,74,1951
461,4165 SE 37th Ave,425000,3,2,1582,5042,Grout Elementary School,Hosford Middle School,16,2015
462,2835 SE Carlton St,1549950,5,4,5215,23935,Duniway Elementary School,Sellwood Middle School,16,1924
463,4915 N Interstate Ave,499900,4,1,2690,3962,Beach Elementary School,Ockley Green School,146,1909
464,615 NE 81st Ave,359900,3,1,1718,4224,Vestal Elementary School,Roseway Heights School,92,1951
465,10605 SE Clinton St,339900,3,2,1789,4405,Harrison Park School,Harrison Park School,92,1983
466,1821 NE 25th Ave,419000,2,2,1015,6141,Irvington Elementary School,Harriet Tubman Middle School,21,1972
467,1702 SE 59th Ave,699950,3,2,2642,5759,Atkinson Elementary School,Mt Tabor Middle School,29,1926
468,6255 SW Tower Way,749900,4,2,3562,11574,Hayhurst Elementary School,Gray Middle School,96,1957
469,136 NE 117th Ave,489000,4,2,2548,2882,Ventura Park Elementary School,Floyd Light Middle School,74,1900
470,5720 SE Jenne Rd,389000,3,2,1496,3300,Pleasant Valley Elementary School,Centennial Middle School,68,1950
471,46 NE 148th Ave,395000,3,1,1094,3194,Glenfair Elementary School,Hauton B Lee Middle School,174,1951
472,1326 NE 155th Ave,249900,2,1,768,2594,Glenfair Elementary School,Hauton B Lee Middle School,174,1943
473,11938 SW 60th Ave,1099000,4,3,3393,4274,Markham Elementary School,Jackson Middle School,96,1932
474,8023 SW Ruby Ter,620000,3,2,3410,11956,Capitol Hill Elementary School,Jackson Middle School,96,1954
475,651 SE 148th Ave ,169000,3,1,1322,2586,Parklane Elementary School,Centennial Middle School,68,1939
476,5225 NE Garfield Ave,625000,5,2,3411,2897,King Elementary School,Harriet Tubman Middle School,21,1908
477,5212 NE 62nd Ave,475000,4,2,1668,3682,Scott Elementary School,Roseway Heights School,92,1942
478,9845 NW Silver Ridge Loop,387000,2,2,1523,7324,Forest Park Elementary School,West Sylvan Middle School,9,1994
479,2333 NE Multnomah St,739900,3,2,2993,7525,Irvington Elementary School,Harriet Tubman Middle School,21,1906
480,9643 NW Silver Ridge Loop,378000,3,2,1350,6620,Forest Park Elementary School,West Sylvan Middle School,9,1994
481,11421 SE Salmon St,399900,5,1,2662,4879,Ventura Park Elementary School,Floyd Light Middle School,74,1957
482,2737 SW English Ct,1250000,5,3,4191,18739,Ainsworth Elementary School,West Sylvan Middle School,9,1941
483,3814 SE Martins St,1229000,5,1,4956,16313,Duniway Elementary School,Sellwood Middle School,16,1892
484,1911 SE 97th Ave,375000,4,1,2368,4043,Cherry Park Elementary School,Floyd Light Middle School,74,1956
485,1135 SE 80th Ave,950000,2,1,1263,4584,Bridger Elementary School,Bridger Elementary School,29,1921
486,3062 NW Montara Loop,599000,2,2,1563,9116,Forest Park Elementary School,West Sylvan Middle School,9,2014
487,2322 SW Sheffield Ave,1200000,3,3,3316,15722,Ainsworth Elementary School,West Sylvan Middle School,9,1993
488,7731 SE Tolman St,399900,3,1,1664,3410,Woodmere Elementary School,Lane Middle School,29,1912
489,9421 E Burnside St,524800,2,1,1443,3101,Cherry Park Elementary School,Floyd Light Middle School,74,1898
490,10549 NW Skyline Blvd,449500,3,3,1312,5993,Skyline Elementary School,Skyline Elementary School,9,1937
491,10632 SE Cora St,279900,3,1,960,2567,Earl Boyles Elementary,Ron Russell Middle School,74,1955
492,3707 SW Baird St,649950,4,3,2970,4733,Capitol Hill Elementary School,Jackson Middle School,96,1947
493,7221 N Catlin Ave,358000,2,1,1658,3873,Sitton Elementary School,George Middle School,146,1910
494,9715 NW Newton Rd,950000,5,4,4110,16006,Skyline Elementary School,Skyline Elementary School,9,1958
495,395 NW Brynwood Ln,3250000,4,3,3850,21440,Forest Park Elementary School,West Sylvan Middle School,9,1963
496,220 SE 132nd Ave,349900,3,2,1554,4140,Russell Elementary,Parkrose Middle School,51,1977
497,1415 NE 21st Ave ,279900,2,1,964,3556,Buckman Elementary School,Hosford Middle School,16,1949
498,3125 NE Cesar E Chavez Blvd,799900,2,2,1770,6898,Alameda Elementary School,Beaumont Middle School,21,1925
499,6224 SE Harney St,449900,5,4,2115,5641,Whitman Elementary School,Lane Middle School,16,1997
500,4630 SW Water Ave,565000,3,2,2522,6796,Capitol Hill Elementary School,Jackson Middle School,96,1909
501,5862 SW Ralston Dr,750000,4,2,2859,9681,Rieke Elementary School,Gray Middle School,96,2015
502,3718 SW Hillside Dr,1334999,4,3,4448,7348,Bridlemile Elementary School,Gray Middle School,96,1912
503,2726 SW 28th Dr,699900,4,3,4713,14630,Stephenson Elementary School,Jackson Middle School,96,1989
504,14302 SE Main St,345000,4,1,1460,3899,Parklane Elementary School,Centennial Middle School,68,1939
505,8034 SE 42nd Ave,479900,4,2,1536,4288,Lewis Elementary School,Sellwood Middle School,16,1940
506,11520 SE Harold St,279900,2,1,720,1880,Earl Boyles Elementary,Ron Russell Middle School,74,1929
507,3553 SE Long St,754900,4,3,2860,7968,Grout Elementary School,Hosford Middle School,16,1945
508,7936 SE 64th Ave,374999,4,2,1264,2942,Whitman Elementary School,Lane Middle School,16,1960
509,2002 SW Dolph Ct,599000,3,2,3395,5550,Capitol Hill Elementary School,Jackson Middle School,96,1917
510,3636 NE 149th Ave,375000,4,2,2221,5682,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1995
511,1030 NW 12th Ave ,449000,1,1,712,0,Chapman Elementary School,West Sylvan Middle School,9,2013
512,3165 NE Multnomah St,599900,3,2,1998,4043,Beverly Cleary School,Beverly Cleary School,21,1924
513,2649 NW Kennedy Ct,393000,3,3,1675,5978,Forest Park Elementary School,West Sylvan Middle School,9,2003
514,1616 SW Harbor Way ,390500,2,2,1038,7695,Ainsworth Elementary School,West Sylvan Middle School,9,1986
515,14918 SE Main St,290000,3,2,1180,4353,Parklane Elementary School,Centennial Middle School,68,2004
516,6807 SE Morrison St,899900,5,3,3600,7636,Glencoe Elementary School,Mt Tabor Middle School,29,1912
517,2343 NE 11th Ave,629000,3,2,2812,8427,Irvington Elementary School,Harriet Tubman Middle School,21,1926
518,7456 N Stockton,549900,3,2,1693,362,Astor Elementary School,Astor Elementary School,146,1943
519,7460 N Stockton Ave,564900,3,2,1802,891,Astor Elementary School,Astor Elementary School,146,1894
