Street,Price,Beds,Baths,Square Footage,Elementery School,Middle School,High School
933 SW Maplecrest Ct,$900000,4,3F11/2,3144,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
5170 SW Landing Dr ,$399000,2,2,1009,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
8822 N Swenson St,$480000,4,3,2032,Sitton Elementary School,George Middle School,Roosevelt High School
14261 NE Shaver St,$339985,3,2F11/2,1836,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
20 NW 16th Ave ,$279900,2,1,722,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7035 SE Sherrett St ,$449000,3,2F11/2,1814,Whitman Elementary School,Lane Middle School,Cleveland High School
7027 SE Sherrett St ,$349000,2,1,866,Whitman Elementary School,Lane Middle School,Cleveland High School
10935 SW 65th Ave,$400000,3,2F11/2,1680,Metzger Elementary School,Thomas R Fowler Middle School,Tualatin High School
6603 N Amherst St,$685500,4,3F11/2,3187,Astor Elementary School,Astor Elementary School,Roosevelt High School
529 NW 21st Ave,$760000,5,3,2891,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
10812 SE Powell Blvd,$259000,1,1,960,Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School
9748 NW Miller Hill Dr,$329900,2,2,1426,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
429 N Bridgeton Rd ,$275000,2,1F11/2,1164,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
6111 SW Lesser Way,$499999,4,3F11/2,2780,Markham Elementary School,Jackson Middle School,Wilson High School
7118 SE 156th Ave,$479000,4,3,2426,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
4504 NE 95th Ave,$425800,2,1,1650,Prescott Elementary School,Parkrose Middle School,Parkrose High School
4812 NE Mallory Ave,$1999990,3,3,3486,King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
10747 SW 65th Ave,$649950,4,2,2680,Metzger Elementary School,Thomas R Fowler Middle School,Tualatin High School
195 N Lotus Beach Dr,$785000,3,3,2846,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
6208 NE Killingsworth St,$699000,6,2,2650,Scott Elementary School,Roseway Heights School,Madison High School
2445 NW Westover Rd ,$1700000,2,2F11/2,2431,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
154 N Hayden Bay Dr,$339777,2,1,952,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
7244 SE Taylor St,$825000,4,3,2627,Bridger Elementary School,Bridger Elementary School,Franklin High School
1883 SW Vista Ave,$1925000,8,4F21/2,7870,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
8427 SE Alder St,$279999,2,1,1100,Harrison Park School,Harrison Park School,Madison High School
3737 NE 135th Ave,$475000,5,3,3262,Shaver Elementary School,Parkrose Middle School,Parkrose High School
2506 SE Grant St,$915000,3,1,3284,Abernethy Elementary School,Hosford Middle School,Cleveland High School
1683 SE Linn St,$299900,2,1F11/2,948,Duniway Elementary School,Sellwood Middle School,Cleveland High School
2522 NW Miller Rd,$409000,3,2F11/2,1457,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
15032 SE Belmore St,$410000,3,3F11/2,2279,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
7835 SE 92nd Ave ,$189000,3,2F11/2,1142,Kelly Elementary School,Lane Middle School,Franklin High School
1504 NE 57th Ave,$450000,4,2,2667,Rose City Park,Roseway Heights School,Madison High School
8520 SW 20th Ave,$599000,7,3,2772,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
2397 SW Montgomery Dr,$899000,5,3F21/2,4603,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
15324 NW Red Cedar Ct,$1115000,6,5F11/2,6100,Skyline Elementary School,Skyline Elementary School,Lincoln High School
10440 N Oswego Ave,$429900,4,1F11/2,1261,Sitton Elementary School,George Middle School,Roosevelt High School
4241 SW 41st Ave,$579950,3,3,2644,Bridlemile Elementary School,Gray Middle School,Wilson High School
8473 SW 11th Ave,$732500,4,3F11/2,2634,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
562 N Blandena St,$775000,4,4,2165,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
15325 NW Central Dr ,$320000,2,2,1150,Jacob Wismer Elementary School,Stoller Middle School,Sunset High School
2448 SW Commonwealth Ave,$2250000,5,3F31/2,5884,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
3027 NW Montara Loop,$575000,3,3F11/2,2968,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
3401 SE Brooklyn St,$639000,3,2F11/2,2684,Grout Elementary School,Hosford Middle School,Cleveland High School
4133 SE Evergreen St,$674900,3,3F11/2,1968,Lewis Elementary School,Sellwood Middle School,Cleveland High School
4129 SE Evergreen St,$674900,3,3F11/2,1968,Lewis Elementary School,Sellwood Middle School,Cleveland High School
8790 SW 90th Ave,$398698,3,2,1266,Raleigh Hills Elementary School,Whitford Middle School,Beaverton High School
15698 NW Clubhouse Dr,$415000,2,2F11/2,1656,Oak Hills Elementary School,Meadow Park Middle School,Westview High School
703 NE 79th Ave,$427000,8,3F11/2,3040,Vestal Elementary School,Roseway Heights School,Madison High School
2037 SE 90th Pl,$389000,4,2,1706,Harrison Park School,Harrison Park School,Madison High School
1826 NE Clackamas St,$889000,4,2F11/2,3076,Buckman Elementary School,Hosford Middle School,Cleveland High School
14439 SE Crystal St,$599900,5,4,4280,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
12804 E Burnside St,$339999,3,1,1325,Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School
7265 SW Willowmere Dr,$1195000,4,2F11/2,3760,Raleigh Hills Elementary School,Whitford Middle School,Beaverton High School
4031 NE 78th Ave,$429900,2,1,2058,Scott Elementary School,Roseway Heights School,Madison High School
2217 N Terry St,$439900,4,2,2228,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
6145 E Burnside St,$474000,3,2,2706,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
5924 N Michigan Ave,$279900,1,1,730,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
1722 SW Vista Ave,$1450000,4,3F11/2,3972,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
3808 SW Mount Adams Dr,$1400000,5,3F11/2,5049,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
2707 NW Birkendene St,$849900,5,3F11/2,3000,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
15595 NW Donegal Ct,$539900,2,2,1436,Oak Hills Elementary School,Meadow Park Middle School,Westview High School
2023 SE Harold St,$449995,4,3,1816,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
2027 SE Harold St,$449995,4,3,1816,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
2043 NE Tillamook St,$1650000,5,4F11/2,6767,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
6049 NE Flanders St,$725000,5,4,2387,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
501 NE Bridgeton Rd ,$324900,3,2,1485,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
1416 NW 24th Ave,$1295000,5,4,2949,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3546 SW Hillside Dr,$475000,2,2,1269,Bridlemile Elementary School,Gray Middle School,Wilson High School
40 SE 133rd Ave ,$349000,3,2,1688,Russell Elementary,Parkrose Middle School,Parkrose High School
710 NW 14th Ave ,$3300000,3,2F11/2,2923,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
16427 NW Ernst St,$384995,3,2F11/2,1426,Springville K-8 School,Stoller Middle School,Westview High School
6703 N Salem Ave,$309000,2,1F11/2,1059,James John Elementary School,George Middle School,Roosevelt High School
7246 SE 141st Ave,$549000,4,3F11/2,3570,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
8209 SE Pineridge Ct,$689888,5,5,3290,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
1414 SW 3rd Ave ,$1050000,2,2,1881,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3240 SW Sherwood Pl,$650000,4,3F11/2,3425,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
9323 SW 52nd Ave,$355000,2,1,704,Markham Elementary School,Jackson Middle School,Wilson High School
2709 SW Patton Ct,$650000,4,3,3071,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
2021 SE Larch Ave,$639900,3,2,3163,Abernethy Elementary School,Hosford Middle School,Cleveland High School
707 NE Church St,$415000,3,1F11/2,1566,King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
3223 SE 122nd Ave,$569500,6,3F21/2,2326,Mill Park Elementary School,Ron Russell Middle School,David Douglas High School
2624 NE Clackamas St,$679900,3,3,2818,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
8327 SE Clatsop St,$469000,2,1F11/2,1636,Kelly Elementary School,Lane Middle School,Franklin High School
3110 NW 112th Pl,$1799990,5,5F21/2,6441,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
5115 SE Henderson St,$195000,1,1,494,Lewis Elementary School,Sellwood Middle School,Cleveland High School
8702 SW 41st Ave,$439900,4,2,2293,Maplewood Elementary School,Jackson Middle School,Wilson High School
3510 SW Sherwood Pl,$1498000,4,3F11/2,4383,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
1927 N Jantzen Ave ,$469000,4,2,1700,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
10990 SW Butner Rd,$750000,5,3F11/2,3364,Ridgewood Elementary School,Cedar Park Middle School,Beaverton High School
4405 SW Selling Ct,$975000,4,3F11/2,4161,Bridlemile Elementary School,Gray Middle School,Wilson High School
5730 SE Front St,$375000,3,2F11/2,1454,Lewelling Elementary School,Rowe Middle School,Milwaukie High School
7523 SE 120th Pl,$524500,4,3,2996,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
173 NE Bridgeton Rd ,$335000,3,2F11/2,1593,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
12336 SE Stephens St,$355900,3,1,1526,Mill Park Elementary School,Ron Russell Middle School,David Douglas High School
11652 SW 31st Ct,$849900,6,2F11/2,4447,Stephenson Elementary School,Jackson Middle School,Wilson High School
429 NW Skyline Blvd,$2450000,5,3,5394,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
314 N Hayden Bay Dr,$449000,2,3,1927,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
14343 SE Knight St ,$240000,2,1,722,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
2417 NE Dekum St,$339000,3,1,880,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
17448 SE Marie St,$285000,2,1,1428,Meadows Elementary School,Centennial Middle School,Centennial High School
2075 SW Mayfield Ave,$900000,4,2F11/2,2928,William Walker Elementary School,Cedar Park Middle School,Beaverton High School
1420 SW Woodward Way,$1000000,5,3F11/2,4631,Ridgewood Elementary School,Cedar Park Middle School,Beaverton High School
650 SE Andover Pl,$950000,4,3,3107,Duniway Elementary School,Sellwood Middle School,Cleveland High School
2324 NW Pinnacle Dr,$1498000,4,3F11/2,5606,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
3735 SE Martins St,$1200000,9,7F31/2,6345,Duniway Elementary School,Sellwood Middle School,Cleveland High School
5769 SW Clay Ct,$565000,4,3F11/2,2433,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
4330 SW 91st Ave,$799000,5,4F11/2,3968,Raleigh Park Elementary School,Whitford Middle School,Beaverton High School
9585 SW Imperial Dr,$799000,4,3,2962,Ridgewood Elementary School,Cedar Park Middle School,Beaverton High School
3007 SE 92nd Ave,$345000,4,2F11/2,1556,Harrison Park School,Harrison Park School,Madison High School
7216 SE 154th Ave,$450000,4,2F11/2,2714,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
3336 NE Cadet Ave,$649000,3,3,4346,Lee Elementary School,Roseway Heights School,Madison High School
3506 NE 145th Ave,$654000,4,3,3376,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
6330 SW Sweetbriar Ct,$1998000,6,5,6238,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
5135 NW Saint Helens Rd,$777000,3,1,2784,Skyline Elementary School,Skyline Elementary School,Lincoln High School
3129 NE Rocky Butte Rd,$870000,3,3,3431,Lee Elementary School,Roseway Heights School,Madison High School
531 N Bridgeton Rd ,$317000,1,1,831,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
4425 SW 47th Dr,$1035000,6,3F11/2,4044,Bridlemile Elementary School,Gray Middle School,Wilson High School
9328 SW 30th Ave,$639000,6,4,4308,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
4470 SE 12th Ave,$475000,2,1,1356,Grout Elementary School,Hosford Middle School,Cleveland High School
3369 NE 162nd Ave,$149990,2,1,892,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
11808 N Jantzen Dr,$400000,2,2F11/2,2152,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
9129 NE Webster St,$269000,3,1,2043,Shaver Elementary School,Parkrose Middle School,Parkrose High School
2630 N Hayden Island Dr ,$329000,2,2,1350,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
3438 SE Tolman St,$659000,4,2,3035,Duniway Elementary School,Sellwood Middle School,Cleveland High School
12235 SE Schiller St,$249999,3,2F11/2,1310,Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School
10320 NE 6th Dr,$310000,2,1F11/2,2388,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
8426 SE Lambert St,$349950,3,1F11/2,1863,Kelly Elementary School,Lane Middle School,Franklin High School
365 N Lotus Beach Dr,$750000,2,2F11/2,3288,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
9912 NW Wind Ridge Dr,$8650000,4,4F41/2,11807,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
5820 N Maryland Ave,$429900,2,1,783,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
10238 NW Langworthy Ter,$1349000,4,4F21/2,4601,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
2454 SW Arden Rd,$669000,3,2,2840,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
1625 NW Johnson St,$879900,3,4,2996,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7514 SW Cedarcrest St,$275000,1,1,768,Metzger Elementary School,Thomas R Fowler Middle School,Tualatin High School
415 SE 76th Ave,$1199950,16,6F61/2,6588,Vestal Elementary School,Roseway Heights School,Madison High School
7725 SW Maple Dr,$765000,5,3,3872,Raleigh Park Elementary School,Whitford Middle School,Beaverton High School
12123 NW Hiller Ln ,$857995,4,3,3175,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
1124 NW Johnson St ,$1650000,4,3F11/2,3020,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7728 SW Barnes Rd ,$209900,1,1,572,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
7566 SW Cedarcrest St,$1699000,6,6,8094,Metzger Elementary School,Thomas R Fowler Middle School,Tualatin High School
1015 SW Bertha Blvd ,$215000,2,1,901,Rieke Elementary School,Gray Middle School,Wilson High School
2807 SW Plum Ct,$549900,5,3,2680,Stephenson Elementary School,Jackson Middle School,Wilson High School
11020 NW Laidlaw Rd,$1350000,6,5F11/2,5613,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
5250 SW Landing Dr ,$199000,1,1,774,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
4450 W Burnside Rd,$1500000,5,3F11/2,3858,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
15053 NW Orchid St ,$316990,2,2F11/2,1371,Sato Elementary School,Stoller Middle School,Westview High School
10640 NE Beech St,$740000,5,2,2540,Prescott Elementary School,Parkrose Middle School,Parkrose High School
3939 N Marine Dr ,$429900,2,2,1576,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
5335 SW Patton Rd,$6975000,4,5F21/2,8162,Bridlemile Elementary School,Gray Middle School,Wilson High School
18655 NW Sauvie Island Rd,$899000,3,3,2888,Sauvie Island Academy,Sauvie Island Academy,Scappoose High School
15635 NE Clackamas Ct,$479837,4,3,2369,Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School
15632 NE Clackamas Ct,$469833,5,3,2258,Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School
15642 NE Clackamas Ct,$485877,4,3,2369,Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School
15643 NE Clackamas Ct,$438937,4,2F11/2,1937,Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School
15647 NE Clackamas Ct,$459877,4,3,2327,Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School
15679 NE Clackamas Ct,$449833,4,2F11/2,2258,Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School
9334 N Tyler Ave,$172900,2,1,879,James John Elementary School,George Middle School,Roosevelt High School
8005 SW 69th Ave,$797500,3,2,1674,Montclair Elementary School,Whitford Middle School,Southridge High School
116 NE 109th Ave,$274900,3,2F11/2,1200,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
2336 SW Osage St ,$300000,1,1,720,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
1033 SW Gibbs St ,$375000,2,2,1014,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
749 SW 68th Ter,$1375000,4,5F11/2,4595,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
408 NE 76th Ave,$559950,4,2,2242,Vestal Elementary School,Roseway Heights School,Madison High School
310 NW Uptown Ter ,$313900,1,1,638,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3368 SW Fairmount Blvd,$645000,3,2F11/2,2626,Rieke Elementary School,Gray Middle School,Wilson High School
310 NW Maywood Dr,$995000,4,3F11/2,3348,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
14804 NW Red Cedar Ct,$1125000,4,4F11/2,4645,Skyline Elementary School,Skyline Elementary School,Lincoln High School
654 SW Grant St ,$229900,1,1,581,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
11728 SW Summerville Ave,$1980000,6,6F21/2,7667,Riverdale Grade School,Riverdale Grade School,Riverdale High School
7623 SE 110th Ave,$490000,6,2F11/2,3225,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
7504 SE 28th Ave,$639000,4,2,2469,Duniway Elementary School,Sellwood Middle School,Cleveland High School
800 NW Powhatan Ter,$1499900,4,4F11/2,5425,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
5109 SE 46th Ave,$624900,8,4,5021,Woodstock Elementary School,Hosford Middle School,Cleveland High School
1380 SW Carson St,$824900,5,2F11/2,2668,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
1368 SW Carson St,$874900,5,3,2950,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
2393 SW Park Pl ,$499000,2,2,1092,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
2646 NW Cornell Rd,$1475000,4,4F21/2,5331,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
10825 E Burnside,$299900,3,2F11/2,1453,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
4318 SW Fairview Circus,$2200000,4,3F21/2,4817,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
2972 SW Champlain Dr,$677000,3,2,2140,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
16138 NW Reliance Ln,$424995,3,2F11/2,1763,Sato Elementary School,Stoller Middle School,Westview High School
8683 NW Savoy Ln,$1400000,4,3F11/2,4102,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
785 SW 67th Pl,$765000,4,2F21/2,3882,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
2087 NW Overton St ,$290000,1,1,494,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
1111 SE 144th Ave,$329900,4,2,1796,Parklane Elementary School,Centennial Middle School,Centennial High School
1011 NW Glisan St ,$1450000,2,2,2474,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
22505 NW Gillihan Rd,$899000,5,3,3855,Sauvie Island Academy,Sauvie Island Academy,Scappoose High School
1320 SW Hall St ,$329500,2,2,1083,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
6440 SW Parkhill Way,$899000,3,2F11/2,3215,Rieke Elementary School,Gray Middle School,Wilson High School
10615 SW 42nd Ave,$775000,3,2,3660,Markham Elementary School,Jackson Middle School,Wilson High School
12260 NW Fernleaf Ln ,$869995,4,3F11/2,3669,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
4077 SW Kanan Dr,$799000,5,4,3035,Hayhurst Elementary School,Gray Middle School,Wilson High School
414 SW Edgecliff Rd,$2495000,5,3F21/2,6213,Riverdale SD 51J,Riverdale SD 51J,Riverdale High School
23586 NW Saint Helens Rd ,$315000,2,2,1100,Grant Watts Elementary School,Scappoose Middle School,Scappoose High School
1425 SE 34th Ave,$624500,4,2F11/2,2500,Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School
6248 N Concord Ave,$799000,6,4F11/2,2966,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
1816 NE Saratoga St,$599900,6,2F11/2,3592,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
1525 NE Marine Dr,$2998000,5,5F11/2,6310,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
205 N Bridgeton Rd ,$329000,2,2,1198,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
2405 SE 156th Ave,$469900,4,2F11/2,1936,Parklane Elementary School,Centennial Middle School,Centennial High School
1436 SE 148th Ave,$255000,3,1,976,Parklane Elementary School,Centennial Middle School,Centennial High School
785 NE Jessup St,$739000,4,3F11/2,2667,King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
2424 SW Montgomery Dr,$4985000,7,5F31/2,14335,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
7615 SW Kelly Ave,$1000000,3,2F11/2,3442,Rieke Elementary School,Gray Middle School,Wilson High School
13616 NW Glendoveer Dr,$1899000,4,4F31/2,7038,Skyline Elementary School,Skyline Elementary School,Lincoln High School
6901 SE Oaks Park Way ,$945000,3,2F11/2,2995,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
1903 SE 29th Ave,$1175000,4,3F11/2,2740,Abernethy Elementary School,Hosford Middle School,Cleveland High School
5890 SE Equestrian Dr,$774900,5,3F11/2,4140,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
23586 NW St. Helens Rd,$359000,2,2,1300,Grant Watts Elementary School,Scappoose Middle School,Scappoose High School
11355 SW Northgate Ct,$1775000,5,5F11/2,6772,Riverdale Grade School,Riverdale Grade School,Riverdale High School
2323 SW Park Pl ,$230000,2,2,1210,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
3932 SE 16th Ave,$338500,3,2,1230,Grout Elementary School,Hosford Middle School,Cleveland High School
3932 SE Gladstone St,$449900,2,1,1782,Grout Elementary School,Hosford Middle School,Cleveland High School
12113 SE Foster Rd,$825000,5,2,4848,Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School
11010 SW Tryon Ave,$1599000,4,4F11/2,4644,Riverdale Grade School,Riverdale Grade School,Riverdale High School
905 N Harbour Dr ,$499000,4,4,2664,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
4341 NE 92nd Ave,$360000,3,2,1919,Russell Elementary,Parkrose Middle School,Parkrose High School
7704 NW Skyline Blvd,$399000,2,1,936,Skyline Elementary School,Skyline Elementary School,Lincoln High School
10829 E Burnside St,$294900,3,2F11/2,1453,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
10827 E Burnside St,$294900,3,2F11/2,1453,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
10849 E Burnside St,$294900,3,2F11/2,1453,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
10843 E Burnside St,$294900,3,2F11/2,1453,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
10845 E Burnside St,$294900,3,2F11/2,1453,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
12359 NW Hiller Ln ,$839995,5,4,3200,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
1610 NW Mayfield Rd,$650000,3,2F11/2,2306,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
807 N Alberta St,$599999,4,2F11/2,2730,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
16 NE 55th Ave,$749900,4,3F11/2,2722,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
3548 SE Taylor St,$724900,4,3F11/2,2352,Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School
8308 SE Hawthorne Blvd,$289900,2,1F11/2,878,Harrison Park School,Harrison Park School,Madison High School
1718 NE 11th Ave ,$299000,1,1,682,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
1503 NE Schuyler St,$1750000,8,9F11/2,9212,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
8212 N Chautauqua Blvd,$609900,5,3F11/2,2585,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
4932 SW Slavin Rd,$419900,3,2F11/2,2252,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
1285 N Jessup St,$394000,2,2F11/2,1113,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
1273 N Jessup St,$395000,3,1F11/2,1082,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
1281 N Jessup St,$394000,2,2F11/2,1055,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
5172 NE 21st Ave,$724900,4,3F11/2,2352,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
5069 NE 22nd Ave,$724900,4,3F11/2,2352,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
5065 NE 22nd Ave,$724900,4,3F11/2,2352,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
118 NE 109th Ave,$255000,3,2F11/2,1200,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
100 NE 109th Ave,$274900,3,2F11/2,1200,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
106 NE 109th Ave,$274900,3,2F11/2,1200,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
2243 NE 11th Ave,$1052000,6,3F11/2,4091,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
620 N Hayden Bay Dr,$439900,3,1F11/2,1816,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
5045 SE Ramona St,$774900,4,3F11/2,2533,Woodstock Elementary School,Hosford Middle School,Cleveland High School
4642 NE Sumner St,$474000,1,1,1532,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
8711 NW Savoy Ln,$1690000,4,4,3717,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
2901 NE Marine Dr ,$149000,2,1F11/2,1451,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
1205 SW Cardinell Dr ,$170000,1,1,580,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
3146 SW Fairmount Blvd,$1425000,5,4F11/2,5188,Rieke Elementary School,Gray Middle School,Wilson High School
110 NE 109th Ave,$274900,3,2F11/2,1200,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
