Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
1716 NW Riverscape St,$987000,2,2F11/2,2151,"$13,372",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2011
13245 NE Sacramento Dr,$480000,4,2,2388,"$5,627",Russell Elementary,Parkrose Middle School,Parkrose High School,1958
6330 SE Dunbar Dr,$555000,3,3F11/2,3923,"$8,615",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,2004
411 NW Flanders St ,$259900,1,1,723,"$5,882",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2001
5535 SW Hewett Blvd,$1935000,5,4,5278,"$11,391",Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School,1940
6255 SW Sheridan St,$1325000,4,2F11/2,4268,"$18,048",Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School,1995
6342 SE 86th Ave,$369000,4,2F11/2,1631,"$4,644",Kelly Elementary School,Lane Middle School,Franklin High School,2007
11834 SE Ash St,$258000,2,1,900,"$2,029",Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School,1954
6746 SE 75th Ave,$315000,3,2,1186,"$4,099",Woodmere Elementary School,Lane Middle School,Franklin High School,2000
4576 NE 47th Ave,$425000,2,1F11/2,1040,"$13,899",Rigler Elementary School,Beaumont Middle School,Madison High School,1947
4794 NE Going St,$420000,2,1F11/2,1012,"$13,899",Rigler Elementary School,Beaumont Middle School,Madison High School,1947
4754 NE Going St,$420000,2,1F11/2,1012,"$13,899",Rigler Elementary School,Beaumont Middle School,Madison High School,1947
4798 NE Going St,$530000,4,2F11/2,1574,"$13,899",Rigler Elementary School,Beaumont Middle School,Madison High School,1947
4548 NE 47th Ave,$495000,3,2,1393,"$13,899",Rigler Elementary School,Beaumont Middle School,Madison High School,1947
10936 NE Wygant St,$299900,4,2,2775,"$2,856",Prescott Elementary School,Parkrose Middle School,Parkrose High School,1914
4556 NE 47th Ave,$530000,4,2F11/2,1574,"$13,899",Rigler Elementary School,Beaumont Middle School,Madison High School,1947
4746 NE Going St,$425000,2,1F11/2,992,"$13,899",Rigler Elementary School,Beaumont Middle School,Madison High School,1947
4588 NE 47th Ave,$425000,2,1F11/2,992,"$13,899",Rigler Elementary School,Beaumont Middle School,Madison High School,1947
5547 SE 119th Ave,$365000,4,1F11/2,1472,"$2,829",Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School,1966
3907 N Albina Ave,$750000,3,2,1932,"$2,417",Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1890
3565 NE Lombard Ct,$379000,3,2,1968,"$4,007",Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools,1948
4384 SE Nehalem St,$689900,3,2F11/2,2603,"$1,404",Lewis Elementary School,Sellwood Middle School,Cleveland High School,1952
10521 SW 11th Dr,$758900,2,2,2427,"$10,391",Stephenson Elementary School,Jackson Middle School,Wilson High School,1986
3413 SE Division St,$849000,3,2F11/2,2213,"$4,161",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1916
6609 NE Rodney Ave,$799000,3,2F11/2,2914,"$6,553",Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools,1908
4744 NE Going St,$530000,4,2F11/2,1574,"$13,899",Rigler Elementary School,Beaumont Middle School,Madison High School,1947
2914 NE 50th Ave,$975900,5,3F11/2,3254,"$13,014",Alameda Elementary School,Beaumont Middle School,Grant High School,1925
4572 NE 47th Ave,$425000,2,1F11/2,1040,"$13,899",Rigler Elementary School,Beaumont Middle School,Madison High School,1947
1620 NW Riverscape St,$599999,2,2F11/2,1489,"$9,190",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2006
7536 N Chatham Ave,$739900,6,4F11/2,3165,"$5,687",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1999
3921 NW Devoto Ln,$1390000,5,3F11/2,5340,"$17,837",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2002
7027 SE Rhone St,$429700,5,2,2192,"$4,448",Arleta Elementary School,Arleta Elementary School,Franklin High School,1910
1132 SW 19th Ave ,$329900,1,1,662,"$8,828",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1997
5815 SE Flavel St,$335000,3,2,1134,"$4,201",Woodmere Elementary School,Lane Middle School,Franklin High School,1996
317 NE 56th Ave,$440000,2,2F11/2,1329,"$5,101",Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School,1997
15348 SE Henderson Way,$485500,4,2F21/2,3080,"$6,019",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,2002
2107 NE 14th Ave,$1049000,5,2F11/2,3850,"$8,249",Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School,1900
1616 SW Montgomery St,$695000,2,2F11/2,1937,"$9,026",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,2004
6035 SE Reed College Pl,$1620000,5,4F11/2,5710,"$23,973",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1939
9780 SW 54th Ave,$699000,5,3,2595,"$3,999",Markham Elementary School,Jackson Middle School,Wilson High School,1940
14 SW Whitaker St,$525000,3,1F11/2,2055,"$5,010",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1892
627 NE Randall Ave,$599900,2,2F11/2,1487,"$1,778",Buckman Elementary School,Hosford Middle School,Cleveland High School,1925
623 NE Randall Ave,$599900,2,2F11/2,1487,"$1,778",Buckman Elementary School,Hosford Middle School,Cleveland High School,1925
621 NE Randall Ave,$599900,2,2F11/2,1461,"$1,778",Buckman Elementary School,Hosford Middle School,Cleveland High School,1925
2636 SW Hume Ct,$334900,2,2,1251,"$5,567",Maplewood Elementary School,Jackson Middle School,Wilson High School,2005
3523 SE Alder St,$799900,5,3F11/2,2645,"$5,079",Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School,1889
8428 SE 146th Pl,$510000,4,3F11/2,3318,"$7,311",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,2007
1542 SW Joshua St,$719000,4,3,2760,"$11,375",Stephenson Elementary School,Jackson Middle School,Wilson High School,2007
7735 SE 66th Pl,$369000,3,2,1544,"$3,960",Whitman Elementary School,Lane Middle School,Cleveland High School,1947
12621 SE Boise St,$259900,3,2F11/2,1420,"$3,697",Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School,2006
302 NE Morgan St,$287500,3,2F11/2,1131,"$4,921",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,2008
4650 SW Ormandy Way,$650000,4,2F11/2,2080,"$11,651",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1980
15715 NE Beech St ,$123900,2,2,978,"$2,023",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,2001
3526 NE Fremont St,$1200000,4,2,4756,"$9,052",Alameda Elementary School,Beaumont Middle School,Grant High School,1919
1210 SE 135th Ave,$349000,3,1,2100,"$4,234",Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School,1951
2834 NE Alameda St,$1299900,6,4F11/2,5837,"$24,726",Alameda Elementary School,Beaumont Middle School,Grant High School,1917
2122 SW 18th Ave,$899000,3,3F11/2,2877,"$14,098",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1886
4019 N Overlook Ter,$995000,3,2F11/2,2756,"$12,856",Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1998
528 SE 128th Ave,$329000,3,1,1170,"$3,398",Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School,1954
2929 SE 17th Ave,$458500,2,1,1764,"$3,322",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1905
629 NE Randall Ave,$599900,2,2F11/2,1554,"$1,778",Buckman Elementary School,Hosford Middle School,Cleveland High School,1925
7621 SE Barbara Welch Rd,$800000,4,4,4081,"$8,491",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,1943
6886 NE 13th Ave,$499900,3,2F11/2,1712,"$3,104",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1914
1944 NW Cedar Ridge Dr,$999000,4,3F11/2,4540,"$16,318",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1999
3441 SE 111th Ave ,$47900,2,1,672,"$13,455",West Powellhurst Elementary School,Ron Russell Middle School,David Douglas High School,1964
4005 SE Sherman St,$574989,4,2F11/2,1874,"$3,177",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1911
6434 SE 138th Pl,$319990,3,2F11/2,1297,"$3,844",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,2003
7033 SE 29th Ave,$724900,4,2F11/2,2634,"$8,026",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1930
1524 NE 148th Pl,$370000,2,2,1713,"$5,569",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1993
8405 SE 23rd Ave,$267000,2,1F11/2,1030,"$4,030",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1975
7926 SE 6th Ave,$775000,3,2F11/2,1800,"$18,977",Llewellyn Elementary School,Sellwood Middle School,Cleveland High School,2017
7932 SE 6th Ave,$775000,3,2F11/2,1800,"$18,977",Llewellyn Elementary School,Sellwood Middle School,Cleveland High School,2017
9746 NW Sunrise Ln,$1850000,5,4F11/2,6395,"$30,087",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2004
5035 N Montana Ave,$375500,4,2,2541,"$3,750",Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1906
2738 SW Robins Crest Dr,$1450000,5,3,5846,"$19,972",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1940
5035 NE 24th Ave,$849900,5,3F11/2,2645,"$2,483",Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools,1910
5615 SE 115th Ave,$368000,3,2,2132,"$3,821",Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School,1962
8940 NW Skyline Blvd,$594000,5,2,2688,"$8,978",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1960
917 SW Palatine St,$885000,4,3F11/2,3738,"$15,035",Stephenson Elementary School,Jackson Middle School,Wilson High School,1992
7945 SE 104th Ave,$410000,3,2F11/2,1740,"$4,218",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1976
1405 SE 168th Pl,$319950,3,2,1282,"$2,819",Patrick Lynch Elementary School,Centennial Middle School,Centennial High School,1957
12818 SE Mill St,$579900,5,3F11/2,3098,"$6,049",Mill Park Elementary School,Ron Russell Middle School,David Douglas High School,1949
15519 SE Belmore Hts,$439900,4,3,2409,"$6,007",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,2003
1719 NW Irving St,$875000,4,2F11/2,3144,"$13,844",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1893
1111 NE 37th Ave,$1165000,3,3F11/2,3341,"$14,207",Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School,1932
2179 NW Hoyt St,$720000,3,1,2119,"$5,825",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1902
11108 SW 65th Ave,$385000,3,2,1273,"$5,672",Markham Elementary School,Jackson Middle School,Wilson High School,1990
6623 N Astor St,$299000,2,1,768,"$2,295",James John Elementary School,George Middle School,Roosevelt High School,1949
590 NW Alpine Ter,$850000,2,2F11/2,2147,"$11,958",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1966
7444 SW Laview Dr,$450000,2,1,1114,"$7,760",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1963
6906 SE Nehalem St,$275000,2,1,612,"$2,933",Whitman Elementary School,Lane Middle School,Cleveland High School,1940
2650 SW Cross Ave,$1350000,3,2F11/2,3572,"$19,590",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1964
9826 SE Caruthers St,$489000,5,2F11/2,2441,"$5,998",Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School,2007
3919 NE Tillamook St,$575000,2,2F11/2,1848,"$6,713",Beverly Cleary School,Beverly Cleary School,Grant High School,1998
18700 NW Logie Trail Rd,$510000,3,1F11/2,2511,"$5,537",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1943
726 NW 11th Ave ,$464000,1,1,817,"$4,593",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2000
7125 SW 3rd Ave,$699900,3,2,3548,"$5,978",Rieke Elementary School,Gray Middle School,Wilson High School,1888
7301 SW 26th Ave,$499900,3,1,1597,"$4,567",Hayhurst Elementary School,Gray Middle School,Wilson High School,1943
2706 SE 138th Ave ,$149900,2,1,796,"$1,805",Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School,1974
2743 NW Thurman St ,$259000,1,1,651,"$3,332",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1933
924 NE 72nd Ave,$399900,3,1F11/2,1210,"$3,864",Vestal Elementary School,Roseway Heights School,Madison High School,1971
4926 SW Corbett Ave ,$329995,2,2,1126,"$5,042",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1979
38 NE 148th Ave,$375000,3,2,1475,"$3,460",Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School,1952
13611 NW Glendoveer Dr,$999000,4,3,3645,"$15,992",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1998
225 SW Carson St,$479900,4,1F11/2,2519,"$7,959",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1949
2349 NW Pinnacle Dr,$1376000,5,4F11/2,6444,"$23,531",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2005
10921 SE Flavel St,$365000,3,2,1320,"$4,465",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1987
636 SE 156th Ave,$385000,3,1F11/2,1732,"$4,661",Parklane Elementary School,Centennial Middle School,Centennial High School,1968
9525 SW 12th Dr,$595000,2,1F11/2,1910,"$6,775",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1949
2799 SW Roswell Ave,$544900,2,2,1616,"$8,689",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1920
3114 SW Wilbard St,$649950,4,3F11/2,3652,"$10,483",Stephenson Elementary School,Jackson Middle School,Wilson High School,1999
3927 NW Devoto Ln,$835800,5,4F11/2,5858,"$23,072",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2002
10304 NE Tillamook St,$459900,6,2,2342,"$4,725",Sacramento Elementary School,Parkrose Middle School,Parkrose High School,1965
66 NW Macleay Blvd,$673000,4,2F11/2,2757,"$11,238",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1923
3507 NE Wasco St,$599950,4,2F11/2,3402,"$9,041",Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School,1924
16430 NW Mcnamee Rd,$366000,3,2,1848,"$4,590",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1999
8055 SE Bybee Blvd,$599000,3,1,2316,"$3,414",Woodmere Elementary School,Lane Middle School,Franklin High School,1914
8357 SW 24th Ave,$364900,2,2,1162,"$5,351",Maplewood Elementary School,Jackson Middle School,Wilson High School,2005
6837 N Montana Ave,$590000,2,1,1461,"$3,144",Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools,1926
3312 NE 48th Ave,$799500,4,3,3477,"$7,518",Alameda Elementary School,Beaumont Middle School,Grant High School,1924
2820 N Willamette Blvd,$560000,4,2,2579,"$5,671",Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1928
5170 SW Landing Dr ,$399000,2,2,1009,"$6,575",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1988
8822 N Swenson St,$480000,4,3,2032,"$5,906",Sitton Elementary School,George Middle School,Roosevelt High School,2008
14261 NE Shaver St,$339985,3,2F11/2,1836,"$5,444",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1978
6603 N Amherst St,$685500,4,3F11/2,3187,"$6,939",Astor Elementary School,Astor Elementary School,Roosevelt High School,1925
529 NW 21st Ave,$760000,5,3,2891,"$7,303",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1900
10812 SE Powell Blvd,$259000,1,1,960,"$1,153",Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School,1950
9748 NW Miller Hill Dr,$329900,2,2,1426,"$5,532",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1995
6111 SW Lesser Way,$499999,4,3F11/2,2780,"$7,803",Markham Elementary School,Jackson Middle School,Wilson High School,2002
7118 SE 156th Ave,$479000,4,3,2426,"$7,119",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,1998
4504 NE 95th Ave,$425800,2,1,1650,"$2,467",Prescott Elementary School,Parkrose Middle School,Parkrose High School,1926
4812 NE Mallory Ave,$1999990,3,3,3486,"$2,320",King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1910
195 N Lotus Beach Dr,$785000,3,3,2846,"$11,395",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1982
6208 NE Killingsworth St,$699000,6,2,2650,"$10,094",Scott Elementary School,Roseway Heights School,Madison High School,1934
154 N Hayden Bay Dr,$339777,2,1,952,"$4,146",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1983
7244 SE Taylor St,$825000,4,3,2627,"$6,102",Bridger Elementary School,Bridger Elementary School,Franklin High School,1925
1883 SW Vista Ave,$1925000,8,4F21/2,7870,"$33,986",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1908
8427 SE Alder St,$279999,2,1,1100,"$3,876",Harrison Park School,Harrison Park School,Madison High School,1925
3737 NE 135th Ave,$475000,5,3,3262,"$7,746",Shaver Elementary School,Parkrose Middle School,Parkrose High School,1964
2506 SE Grant St,$915000,3,1,3284,"$7,554",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1911
1683 SE Linn St,$299900,2,1F11/2,948,"$3,917",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1997
1504 NE 57th Ave,$450000,4,2,2667,"$5,822",Rose City Park,Roseway Heights School,Madison High School,1940
8520 SW 20th Ave,$599000,7,3,2772,"$7,637",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1989
2397 SW Montgomery Dr,$899000,5,3F21/2,4603,"$14,664",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1914
15324 NW Red Cedar Ct,$1115000,6,5F11/2,6100,"$18,360",Skyline Elementary School,Skyline Elementary School,Lincoln High School,2006
10440 N Oswego Ave,$429900,4,1F11/2,1261,"$3,795",Sitton Elementary School,George Middle School,Roosevelt High School,1959
4241 SW 41st Ave,$579950,3,3,2644,"$11,043",Bridlemile Elementary School,Gray Middle School,Wilson High School,1977
2448 SW Commonwealth Ave,$2250000,5,3F31/2,5884,"$24,893",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1989
3027 NW Montara Loop,$575000,3,3F11/2,2968,"$9,243",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2000
3401 SE Brooklyn St,$639000,3,2F11/2,2684,"$6,220",Grout Elementary School,Hosford Middle School,Cleveland High School,1909
703 NE 79th Ave,$427000,8,3F11/2,3040,"$6,201",Vestal Elementary School,Roseway Heights School,Madison High School,1910
2037 SE 90th Pl,$389000,4,2,1706,"$3,934",Harrison Park School,Harrison Park School,Madison High School,1972
1826 NE Clackamas St,$889000,4,2F11/2,3076,"$8,048",Buckman Elementary School,Hosford Middle School,Cleveland High School,1917
14439 SE Crystal St,$599900,5,4,4280,"$8,341",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,2007
12804 E Burnside St,$339999,3,1,1325,"$3,570",Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School,1953
4031 NE 78th Ave,$429900,2,1,2058,"$4,865",Scott Elementary School,Roseway Heights School,Madison High School,1950
2217 N Terry St,$439900,4,2,2228,"$3,191",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1911
6145 E Burnside St,$474000,3,2,2706,"$4,052",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1900
1722 SW Vista Ave,$1450000,4,3F11/2,3972,"$18,764",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1910
3808 SW Mount Adams Dr,$1400000,5,3F11/2,5049,"$7,512",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1908
2043 NE Tillamook St,$1650000,5,4F11/2,6767,"$18,200",Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School,1911
6049 NE Flanders St,$725000,5,4,2387,"$9,053",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1915
501 NE Bridgeton Rd ,$324900,3,2,1485,"$5,312",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1956
1416 NW 24th Ave,$1295000,5,4,2949,"$17,180",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1896
3546 SW Hillside Dr,$475000,2,2,1269,"$5,733",Bridlemile Elementary School,Gray Middle School,Wilson High School,1921
40 SE 133rd Ave ,$349000,3,2,1688,"$3,626",Russell Elementary,Parkrose Middle School,Parkrose High School,1943
6703 N Salem Ave,$309000,2,1F11/2,1059,"$3,955",James John Elementary School,George Middle School,Roosevelt High School,2008
7246 SE 141st Ave,$549000,4,3F11/2,3570,"$7,976",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1994
8209 SE Pineridge Ct,$689888,5,5,3290,"$3,241",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,2019
3240 SW Sherwood Pl,$650000,4,3F11/2,3425,"$12,116",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1964
9323 SW 52nd Ave,$355000,2,1,704,"$3,921",Markham Elementary School,Jackson Middle School,Wilson High School,1951
2709 SW Patton Ct,$650000,4,3,3071,"$13,051",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1963
2021 SE Larch Ave,$639900,3,2,3163,"$6,499",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1938
707 NE Church St,$415000,3,1F11/2,1566,"$3,104",King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1999
2624 NE Clackamas St,$679900,3,3,2818,"$6,839",Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School,1928
8327 SE Clatsop St,$469000,2,1F11/2,1636,"$3,608",Kelly Elementary School,Lane Middle School,Franklin High School,1910
5115 SE Henderson St,$195000,1,1,494,"$1,691",Lewis Elementary School,Sellwood Middle School,Cleveland High School,1924
8702 SW 41st Ave,$439900,4,2,2293,"$5,326",Maplewood Elementary School,Jackson Middle School,Wilson High School,1924
3510 SW Sherwood Pl,$1498000,4,3F11/2,4383,"$26,192",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1962
4405 SW Selling Ct,$975000,4,3F11/2,4161,"$18,909",Bridlemile Elementary School,Gray Middle School,Wilson High School,1990
7523 SE 120th Pl,$524500,4,3,2996,"$9,552",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,2005
12336 SE Stephens St,$355900,3,1,1526,"$3,129",Mill Park Elementary School,Ron Russell Middle School,David Douglas High School,1946
11652 SW 31st Ct,$849900,6,2F11/2,4447,"$15,862",Stephenson Elementary School,Jackson Middle School,Wilson High School,1996
429 NW Skyline Blvd,$2450000,5,3,5394,"$17,660",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1928
314 N Hayden Bay Dr,$449000,2,3,1927,"$7,057",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1973
14125 NW Germantown Rd,$4000000,5,5F11/2,13000,"$47,750",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1967
2417 NE Dekum St,$339000,3,1,880,"$3,177",Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools,1981
17448 SE Marie St,$285000,2,1,1428,"$2,248",Meadows Elementary School,Centennial Middle School,Centennial High School,1925
2324 NW Pinnacle Dr,$1498000,4,3F11/2,5606,"$20,561",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2001
3735 SE Martins St,$1200000,9,7F31/2,6345,"$17,015",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1991
3336 NE Cadet Ave,$649000,3,3,4346,"$9,665",Lee Elementary School,Roseway Heights School,Madison High School,1969
3506 NE 145th Ave,$654000,4,3,3376,"$7,138",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1969
6330 SW Sweetbriar Ct,$1998000,6,5,6238,"$23,618",Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School,2005
5135 NW Saint Helens Rd,$777000,3,1,2784,"$4,519",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1937
3129 NE Rocky Butte Rd,$870000,3,3,3431,"$11,206",Lee Elementary School,Roseway Heights School,Madison High School,1979
531 N Bridgeton Rd ,$317000,1,1,831,$0,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,2000
4425 SW 47th Dr,$1035000,6,3F11/2,4044,"$16,554",Bridlemile Elementary School,Gray Middle School,Wilson High School,2016
9328 SW 30th Ave,$639000,6,4,4308,"$10,381",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,2010
4470 SE 12th Ave,$475000,2,1,1356,"$2,583",Grout Elementary School,Hosford Middle School,Cleveland High School,1956
