Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
14952 SE Caruthers Ct ,$140000,2,1,956,"$2,484",Parklane Elementary School,Centennial Middle School,Centennial High School,1970
311 NW 12th Ave ,$1299000,2,2F11/2,2117,"$19,004",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2007
8618 N Edison St ,$359900,2,2F11/2,968,"$1,330",James John Elementary School,George Middle School,Roosevelt High School,1905
8622 N Edison St ,$374900,2,2F11/2,915,"$1,330",James John Elementary School,George Middle School,Roosevelt High School,1905
3269 NE Dekum St,$429999,3,2,1976,"$3,274",Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools,1952
3231 SE Schiller St,$595000,3,2,2644,"$7,585",Grout Elementary School,Hosford Middle School,Cleveland High School,1967
2222 SE 135th Ave,$349000,3,1,1184,"$3,767",Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School,1968
2033 NE 95th Pl,$459000,3,1F11/2,1944,"$5,263",Lee Elementary School,Roseway Heights School,Madison High School,1959
4516 NE 86th Ave,$332500,2,1,800,"$2,279",Russell Elementary,Parkrose Middle School,Parkrose High School,1926
4016 SW Patton Rd,$611900,3,2F11/2,2515,"$9,117",Bridlemile Elementary School,Gray Middle School,Wilson High School,1976
7522 SE Rural St,$389900,4,2,1883,"$3,172",Woodmere Elementary School,Lane Middle School,Franklin High School,1911
3671 SE Knapp St,$814900,4,2F11/2,2686,"$8,900",Duniway Elementary School,Sellwood Middle School,Cleveland High School,2017
5312 NE 12th Ave,$540000,4,2,2054,"$1,907",Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools,1911
3606 SE Johnson Creek Blvd,$484860,3,2,2042,"$4,158",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1954
5120 N Albina Ave,$199000,2,1,2561,"$2,911",Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1905
3211 SE 22nd Ave,$549000,3,2,1774,"$4,638",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1923
324 NE Morgan St ,$310000,3,2F11/2,1371,"$4,999",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,2008
9805 N Clarendon Ave,$300000,3,1,1326,"$3,201",Cesar Chavez K-8 School,Cesar Chavez K-8 School,Roosevelt High School,1962
9216 SE Market St,$425000,3,2,1740,"$4,843",Harrison Park School,Harrison Park School,Madison High School,1970
4855 SE 65th Ave,$565000,4,2,2298,"$5,472",Arleta Elementary School,Arleta Elementary School,Franklin High School,1905
2547 NW Upshur St,$999000,2,3F11/2,4172,"$17,969",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1999
12504 SE Stark St ,$170000,2,2,980,"$1,948",Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School,1984
1146 NE 69th Ave,$407000,3,2,1246,"$3,874",Vestal Elementary School,Roseway Heights School,Madison High School,1954
