Street,Price,Beds,Baths,Square Footage
1903 SE 29th Ave,$1175000,4,3F11/2,2740
5890 SE Equestrian Dr,$774900,5,3F11/2,4140
1323 SE Lambert St,$1590000,8,6F21/2,4924
23586 NW St. Helens Rd,$359000,2,2,1300
11355 SW Northgate Ct,$1775000,5,5F11/2,6772
2323 SW Park Pl #506,$240000,2,2,1500
3932 SE 16th Ave,$344900,3,2,1230
3932 SE Gladstone St,$449900,2,1,1782
1150 NW Quimby St #1908,$2821000,3,2F11/2,2701
12113 SE Foster Rd,$825000,5,2,4848
11010 SW Tryon Ave,$1599000,4,4F11/2,4644
1405 SW Corbett Hill Cir,$4495000,4,4F21/2,9829
724 SW Castle Ridge Ln,$1499000,4,3F11/2,4732
905 N Harbour Dr #8,$499000,4,4,2664
2109 NW Irving St #302,$266000,1,1,592
4341 NE 92nd Ave,$360000,3,2,1919
7704 NW Skyline Blvd,$399000,2,1,936
10829 E Burnside St,$294900,3,2F11/2,1453
10827 E Burnside St,$294900,3,2F11/2,1453
10849 E Burnside St,$294900,3,2F11/2,1453
10843 E Burnside St,$294900,3,2F11/2,1453
10845 E Burnside St,$294900,3,2F11/2,1453
173 N Bridgeton Rd #20,$299000,2,2,1435
12404 SW 34th Ave,$629000,3,2F11/2,3196
12359 NW Hiller Ln #L98,$839995,5,4,3200
1610 NW Mayfield Rd,$650000,3,2F11/2,2306
807 N Alberta St,$599999,4,2F11/2,2730
16 NE 55th Ave,$749900,4,3F11/2,2722
3548 SE Taylor St,$724900,4,3F11/2,2352
10414 SW 46th Pl,$479000,3,3F11/2,2065
8308 SE Hawthorne Blvd,$289900,2,1F11/2,878
1718 NE 11th Ave #302,$299000,1,1,682
1503 NE Schuyler St,$1750000,8,9F11/2,9212
8212 N Chautauqua Blvd,$609900,5,3F11/2,2585
836 SW Curry St #1804,$1595000,3,2,2541
4932 SW Slavin Rd,$419900,3,2F11/2,2252
2895 West Point Ave,$1475000,4,4,3784
1285 N Jessup St,$394000,2,2F11/2,1113
1273 N Jessup St,$395000,3,1F11/2,1082
1281 N Jessup St,$394000,2,2F11/2,1055
5172 NE 21st Ave,$724900,4,3F11/2,2352
5069 NE 22nd Ave,$724900,4,3F11/2,2352
5065 NE 22nd Ave,$724900,4,3F11/2,2352
118 NE 109th Ave,$255000,3,2F11/2,1200
100 NE 109th Ave,$274900,3,2F11/2,1200
106 NE 109th Ave,$274900,3,2F11/2,1200
2243 NE 11th Ave,$1054000,6,3F11/2,4091
620 N Hayden Bay Dr,$439900,3,1F11/2,1816
5045 SE Ramona St,$774900,4,3F11/2,2533
4642 NE Sumner St,$474000,1,1,1532
2024 SW Howards Way #402,$599900,3,3,2333
1610 SW Mary Failing Dr,$1850000,5,4F11/2,4323
8711 NW Savoy Ln,$1690000,4,4,3717
2901 NE Marine Dr #A-10,$149000,2,1F11/2,1451
11820 SE Morrison St,$489900,4,2F11/2,2229
6409 NE Pacific St,$499900,4,2F11/2,1821
6405 NE Pacific St,$499900,4,2F11/2,1821
11824 SE Morrison St,$489900,4,2F11/2,2229
1205 SW Cardinell Dr #102,$170000,1,1,580
3146 SW Fairmount Blvd,$1425000,5,4F11/2,5188
110 NE 109th Ave,$274900,3,2F11/2,1200
134 NE 109th Ave,$264900,3,2F11/2,1200
136 NE 109th,$274900,3,2F11/2,1243
10831 E Burnside St,$279900,3,2F11/2,1453
5015 SW Dosch Rd,$850000,6,3,3802
2222 SE Lambert St,$699000,3,2F21/2,2705
843 SW Palatine Hill Rd,$1195000,5,3,3975
16831 NW Madrone St,$1630000,4,5F11/2,5015
2323 SW Park Pl #505,$230000,2,2,1210
1005 SW Park Ave #406,$259000,1,1,540
2401 NE 162nd Ave,$479923,4,3,2246
8270 SW 8th Ave,$789900,4,3,2621
14695 SW 153rd Ave,$719900,4,2F11/2,2960
2744 SW Sherwood Dr,$1300000,4,3,5882
921 SW Davenport St,$1449000,4,3F11/2,3950
1150 NW Quimby St #330,$836000,2,2F11/2,1493
7079 SE Thorburn St,$479900,3,2F11/2,1957
1025 NW Couch St #810,$995000,3,2,1967
11325 NW Laidlaw Rd,$649000,3,1,2575
1587 NE 22nd Ave,$719900,4,3F11/2,2352
1585 NE 22nd Ave,$719900,4,3F11/2,2352
138 NE 109th Ave,$274900,3,2F11/2,1243
7240 NW Summitview Dr,$1125000,6,4F11/2,5536
1553 NE 22nd Ave,$719900,4,3F11/2,2352
2351 SE 156th Ave,$315000,2,1,1436
1551 NE 22nd Ave,$719900,4,3F11/2,2352
2206 SW Greenwood Rd,$2250000,5,5F21/2,5920
6020 SW Arrow Wood Ln,$1879000,5,4,3589
534 NE 67th Ave,$474950,5,2,2123
114 NE 109th Ave,$274900,3,2F11/2,1200
3601 SW River Pkwy #2703,$1450000,2,2F11/2,2699
1815 SW Montgomery Dr,$2095000,4,3F11/2,6174
411 NW Flanders St #606,$275000,1,1,726
720 NW Warrenton Ter,$1495000,4,3F11/2,5248
6822 N Interstate Ave,$324900,2,1,750
11844 N Jantzen Dr,$244000,2,1F11/2,1269
922 NW 11th Ave #1115,$860000,2,2F11/2,1734
2892 SE Division St #2,$535000,3,2F21/2,1470
1150 NW Quimby St #2112,$3335000,3,2F11/2,2715
1730 SW Corbett Hill Cir,$1299000,4,3F11/2,4827
1150 NW Quimby St #308,$879500,2,2F11/2,1479
1150 NW Quimby St #430,$850000,2,2F11/2,1493
1150 NW Quimby St #1912,$2942000,2,2F11/2,2715
1150 NW Quimby St #208,$399000,1,1,778
7555 SW Canyon Rd,$634900,5,4,3238
 SW Cardinell Way,$2395000,4,4F11/2,4444
1920 SW River Dr #E1303,$1150000,2,2F11/2,2156
280 N Tomahawk Island Dr,$275000,2,1F11/2,1295
14616 NW Rock Creek Rd,$690000,4,3,2329
6645 N Columbia Blvd,$350000,3,2F11/2,1360
2524 NW Skyline Blvd,$1599000,3,4,4625
4216 N Mississippi Ave #212,$619950,2,1F11/2,1165
16501 SE Powell Blvd,$349000,3,1,960
1150 NW Quimby St #310,$608000,1,1,1088
1150 NW Quimby St #1606,$1230500,2,2F11/2,1612
1150 NW Quimby St #2008,$2955000,3,2F11/2,2701
