Street,Price,Beds,Baths,Square Footage
2050 N Killingsworth St #2,$279800,1,1,703
6555 NW 165th Ave,$669000,4,2F11/2,2678
6007 SE Steele St,$625000,4,3F11/2,2550
9635 SE Glenwood St,$375000,3,2,1950
8329 SW 24th Ave,$398000,3,3F11/2,1724
10725 NE Tillamook St,$334900,4,1,1348
4119 NE 115th Ave,$349900,4,1,1530
8821 NE Wasco St,$325000,3,2F11/2,2029
15059 NW Elaina Ct,$449000,3,3,1996
15237 SE Flavel,$469995,4,3,2694
330 SE 50th Ave,$348000,2,1F11/2,1274
4216 N Mississippi Ave #301,$439950,1,1,784
4216 N Mississippi Ave #401,$699950,2,2,1214
4216 N Mississippi Ave #214,$334950,1,1,727
21139 NW Rock Creek Blvd,$381900,3,2,1116
1621 NE 157th Ave,$389900,4,2,1612
4145 SW Washouga Ave,$649900,4,3,3130
6126 SE Malden St,$299999,3,3,1506
3601 SW River Pkwy #2905,$1795000,2,2F11/2,2698
2211 SW 1st Ave #505,$340000,1,1,869
1120 NE 162nd Ave,$344900,3,1,2053
1636 NW 143rd Ave,$275000,3,2F11/2,1468
2344 SE 112th Ave,$299900,3,2F11/2,1430
4021 NE 7th Ave,$699900,5,4,2833
3816 SE 134th Ave,$319950,4,2,1671
10161 N Ziegler Ave,$329900,2,1F11/2,1208
16159 NW Fescue Ct,$359900,4,3,1832
937 NW Glisan St #334,$399000,1,1,968
25 NE 47th Ave,$650000,4,1F11/2,3452
3549 N Gantenbein Ave #301,$359900,2,2,1114
3549 N Gantenbein Ave #102,$339900,2,2,1089
14738 SW Juliet Ter,$782000,5,4,4360
2335 NW Raleigh St #233,$445000,1,1,811
3549 N Gantenbein Ave #202,$349900,2,2,1089
10416 SE Reedway St,$245000,2,1,632
1926 W Burnside St #511,$308000,1,1,866
318 SE Spokane St,$929000,2,2F11/2,2612
6617 SE 65th Ave,$315000,2,1,884
528 NE 92nd Ave,$419000,3,2,1533
10110 SE Clatsop St,$619000,5,2F11/2,3453
4816 SW Fairview Blvd,$725000,3,2F11/2,2473
4675 NW 186th Ave,$540000,5,3,2600
11933 NW Schall St #3,$779950,5,3,2951
1310 NE 148th Ave,$699900,10,4F31/2,5120
2211 SW Park Pl #303,$348000,2,2,1039
12127 NW Millford St #Lt165,$848950,5,3,3480
17737 NE Couch St,$381500,3,2,1562
9090 NW Marshall St,$797000,2,2,1760
2029 SE 143rd Ave,$335000,4,2,1222
5624 SW Riverside Ln #14,$329900,2,2,1170
3405 NE 162nd Ave,$230000,3,2,1430
15735 SE Clinton St,$294990,3,1,950
102 SW Pendleton St,$776500,3,2F11/2,2175
11711 NE San Rafael St,$349900,3,1,1200
9327 N Richmond Ave,$449900,3,2F11/2,1570
11917 NW Schall St,$699950,4,3,2612
5505 NE 32nd Pl,$789900,4,3F11/2,2883
8037 NW Prominence Ct,$1250000,3,4,3195
